gene_id,expression,sample_id,mag_id
MAG140_MAG140_MAG140_106_3,7.805069121,EX01,MAG140
MAG140_MAG140_MAG140_106_4,7.491219764,EX01,MAG140
MAG140_MAG140_MAG140_106_5,2.35886643,EX01,MAG140
MAG140_MAG140_MAG140_106_6,86.31959357,EX01,MAG140
MAG140_MAG140_MAG140_106_7,0.0,EX01,MAG140
MAG140_MAG140_MAG140_106_8,0.0,EX01,MAG140
MAG140_MAG140_MAG140_106_9,0.0,EX01,MAG140
MAG140_MAG140_MAG140_107_1,3.178203785,EX01,MAG140
MAG140_MAG140_MAG140_108_1,2.923710451,EX01,MAG140
MAG140_MAG140_MAG140_108_10,0.0,EX01,MAG140
MAG140_MAG140_MAG140_108_11,2.989662642,EX01,MAG140
MAG140_MAG140_MAG140_108_12,0.0,EX01,MAG140
MAG140_MAG140_MAG140_108_2,10.1112478,EX01,MAG140
MAG140_MAG140_MAG140_108_3,0.0,EX01,MAG140
MAG140_MAG140_MAG140_108_4,8.961350262,EX01,MAG140
MAG140_MAG140_MAG140_108_5,9.273442693,EX01,MAG140
MAG140_MAG140_MAG140_108_6,0.0,EX01,MAG140
MAG140_MAG140_MAG140_108_7,0.0,EX01,MAG140
MAG140_MAG140_MAG140_108_8,2.358127376,EX01,MAG140
MAG140_MAG140_MAG140_108_9,0.899600631,EX01,MAG140
MAG140_MAG140_MAG140_109_1,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_10,12.02693779,EX01,MAG140
MAG140_MAG140_MAG140_109_11,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_12,5.077106005,EX01,MAG140
MAG140_MAG140_MAG140_109_13,5.628355111,EX01,MAG140
MAG140_MAG140_MAG140_109_14,13.43549122,EX01,MAG140
MAG140_MAG140_MAG140_109_15,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_16,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_17,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_18,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_19,16.2931769,EX01,MAG140
MAG140_MAG140_MAG140_109_2,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_20,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_21,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_22,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_23,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_24,9.984048938,EX01,MAG140
MAG140_MAG140_MAG140_109_25,4.567090789,EX01,MAG140
MAG140_MAG140_MAG140_109_26,7.318119617,EX01,MAG140
MAG140_MAG140_MAG140_109_27,7.580241965,EX01,MAG140
MAG140_MAG140_MAG140_109_28,10.83755654,EX01,MAG140
MAG140_MAG140_MAG140_109_29,29.15956706,EX01,MAG140
MAG140_MAG140_MAG140_109_3,4.265814433,EX01,MAG140
MAG140_MAG140_MAG140_109_30,11.88306334,EX01,MAG140
MAG140_MAG140_MAG140_109_31,267.7670265,EX01,MAG140
MAG140_MAG140_MAG140_109_32,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_33,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_34,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_35,10.74103723,EX01,MAG140
MAG140_MAG140_MAG140_109_36,10.52452067,EX01,MAG140
MAG140_MAG140_MAG140_109_37,25.26039816,EX01,MAG140
MAG140_MAG140_MAG140_109_38,6.403135208,EX01,MAG140
MAG140_MAG140_MAG140_109_39,1.941922965,EX01,MAG140
MAG140_MAG140_MAG140_109_4,1.366902549,EX01,MAG140
MAG140_MAG140_MAG140_109_40,54.33854509,EX01,MAG140
MAG140_MAG140_MAG140_109_41,38.92698322,EX01,MAG140
MAG140_MAG140_MAG140_109_42,11.41077305,EX01,MAG140
MAG140_MAG140_MAG140_109_43,4.834342639,EX01,MAG140
MAG140_MAG140_MAG140_109_44,2.386714003,EX01,MAG140
