SERAT
CYSS
DMALRED
2DHGLCK
FDH3
GAPDi_nadp
MCITD
POR_2
MSAR
TKT2
SSCOARy
MTHFC
3AMACHYD
CYSTL
SERD_L
PYDXO
NO3R1bpp
NTRIRx
DHPPDA
ALAD_syn
GMPS
APH120
CDAPPA141
PAPA_EC
PGPP_EC
PGPP161pp
3NTD9pp
NTD11
NTD4pp
NTP4
GMHEPPA
SERASr
BGLK
HEX1
PYK2
HPPK2
PMPK
PGSA_EC
DAGK180
PGSA181
DGK1
UMPK
GLUPRT
NTPP10
URIK1
TDSKN
