reaction_id,lb,ub,reaction_name,equation,type
EAR120x,0,1000,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0),h[C_c] + nadh[C_c] + tddec2eACP[C_c]  -> nad[C_c] + ddcaACP[C_c] ,Cata2Ana
EAR121x,0,1000,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1),h[C_c] + nadh[C_c] + t3c5ddeceACP[C_c]  -> nad[C_c] + cddec5eACP[C_c] ,Cata2Ana
EAR140x,0,1000,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0),h[C_c] + nadh[C_c] + tmrs2eACP[C_c]  -> nad[C_c] + myrsACP[C_c] ,Cata2Ana
EAR141x,0,1000,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1),h[C_c] + nadh[C_c] + t3c7mrseACP[C_c]  -> nad[C_c] + tdeACP[C_c] ,Cata2Ana
EAR160x,0,1000,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0),h[C_c] + nadh[C_c] + tpalm2eACP[C_c]  -> nad[C_c] + palmACP[C_c] ,Cata2Ana
EAR161x,0,1000,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1),h[C_c] + nadh[C_c] + t3c9palmeACP[C_c]  -> nad[C_c] + hdeACP[C_c] ,Cata2Ana
EAR180x,0,1000,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0),h[C_c] + nadh[C_c] + toctd2eACP[C_c]  -> nad[C_c] + ocdcaACP[C_c] ,Cata2Ana
EAR181x,0,1000,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1),h[C_c] + nadh[C_c] + t3c11vaceACP[C_c]  -> nad[C_c] + octeACP[C_c] ,Cata2Ana
EAR40x,0,1000,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0),h[C_c] + nadh[C_c] + but2eACP[C_c]  -> nad[C_c] + butACP[C_c] ,Cata2Ana
EAR60x,0,1000,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0),h[C_c] + nadh[C_c] + thex2eACP[C_c]  -> nad[C_c] + hexACP[C_c] ,Cata2Ana
EAR80x,0,1000,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0),h[C_c] + nadh[C_c] + toct2eACP[C_c]  -> nad[C_c] + ocACP[C_c] ,Cata2Ana
GLYCL_2,0,1000,GLYCL 2,nh4[C_c] + nadh[C_c] + co2[C_c] + mlthf[C_c]  -> nad[C_c] + gly[C_c] + thf[C_c] ,Cata2Ana
ALAD_syn,0,1000,L-alanine dehydrogenase,nh4[C_c] + h[C_c] + nadh[C_c] + pyr[C_c]  -> h2o[C_c] + nad[C_c] + ala__L[C_c] ,Cata2Ana
GLUSx,0,1000,Glutamate synthase  NADH2,h[C_c] + nadh[C_c] + akg[C_c] + gln__L[C_c]  -> 2 glu__L[C_c] + nad[C_c] ,Cata2Ana
G1PDH,-1000,1000,G1PDH,h[C_c] + nadh[C_c] + dhap[C_c]  <=> nad[C_c] + glyc1p[C_c] ,Cata2Ana
